y,x,street_count,highway,ref,geometry,avg_minutes,15_minutes
51.2426615,6.7844586,3,crossing,,POINT (6.7844586 51.2426615),0.6666666666666666,True
51.2197446,6.8097284,4,,,POINT (6.8097284 51.2197446),24.333333333333332,False
51.2176247,6.7968114,3,,,POINT (6.7968114 51.2176247),7.333333333333333,True
51.2484727,6.7767587,4,,,POINT (6.7767587 51.2484727),2.0,True
51.2131857,6.7944509,4,,,POINT (6.7944509 51.2131857),5.333333333333333,True
51.2085771,6.752679,3,,,POINT (6.752679 51.2085771),21.333333333333332,False
51.2432143,6.7409094,3,,,POINT (6.7409094 51.2432143),41.666666666666664,False
51.2447465,6.8170867,3,,,POINT (6.8170867 51.2447465),30.0,False
51.2053979,6.7881681,1,,,POINT (6.7881681 51.2053979),0.6666666666666666,True
51.2167719,6.7635092,3,,,POINT (6.7635092 51.2167719),9.333333333333334,True
51.2048139,6.7849877,3,,,POINT (6.7849877 51.2048139),0.3333333333333333,True
51.2076774,6.746048,3,,,POINT (6.746048 51.2076774),30.666666666666668,False
51.1999035,6.8151203,3,,,POINT (6.8151203 51.1999035),29.333333333333332,False
51.2040109,6.8119748,3,,,POINT (6.8119748 51.2040109),29.666666666666668,False
51.2225519,6.7457367,3,,,POINT (6.7457367 51.2225519),33.333333333333336,False
51.2362809,6.7937714,3,,,POINT (6.7937714 51.2362809),4.0,True
51.2146588,6.8005639,3,crossing,,POINT (6.8005639 51.2146588),13.666666666666666,True
51.2120691,6.7591203,3,,,POINT (6.7591203 51.2120691),12.0,True
51.2331555,6.7791027,4,crossing,,POINT (6.7791027 51.2331555),1.6666666666666667,True
51.2187541,6.7769305,4,traffic_signals,,POINT (6.7769305 51.2187541),1.3333333333333333,True
51.2301111,6.7825794,4,,,POINT (6.7825794 51.2301111),0.6666666666666666,True
51.2317495,6.7892702,4,,,POINT (6.7892702 51.2317495),0.6666666666666666,True
51.2025181,6.8006805,3,,,POINT (6.8006805 51.2025181),11.333333333333334,True
51.2438021,6.7348174,3,,,POINT (6.7348174 51.2438021),45.666666666666664,False
51.2435342,6.8039468,4,,,POINT (6.8039468 51.2435342),13.333333333333334,True
51.201037,6.8086105,3,,,POINT (6.8086105 51.201037),21.0,False
51.2492597,6.7985757,4,,,POINT (6.7985757 51.2492597),11.666666666666666,True
51.2027337,6.7834158,3,,,POINT (6.7834158 51.2027337),1.0,True
51.2281234,6.7754019,1,,,POINT (6.7754019 51.2281234),1.3333333333333333,True
51.2398386,6.7746032,3,,,POINT (6.7746032 51.2398386),1.6666666666666667,True
51.246942,6.8167962,3,,,POINT (6.8167962 51.246942),30.666666666666668,False
51.2106192,6.7986687,3,,,POINT (6.7986687 51.2106192),9.333333333333334,True
51.2227954,6.7878298,1,,,POINT (6.7878298 51.2227954),1.0,True
51.2096658,6.7704688,1,,,POINT (6.7704688 51.2096658),3.6666666666666665,True
51.2201668,6.7761849,1,,,POINT (6.7761849 51.2201668),1.6666666666666667,True
51.233182,6.7335409,3,,,POINT (6.7335409 51.233182),39.666666666666664,False
51.2293027,6.7560895,3,,,POINT (6.7560895 51.2293027),19.666666666666668,False
51.1986073,6.8051241,4,,,POINT (6.8051241 51.1986073),24.0,False
51.2044593,6.8157585,1,,,POINT (6.8157585 51.2044593),35.333333333333336,False
51.2511848,6.7613604,3,,,POINT (6.7613604 51.2511848),15.0,True
51.2351827,6.7580257,3,,,POINT (6.7580257 51.2351827),18.666666666666668,False
51.2453506,6.7817585,3,,,POINT (6.7817585 51.2453506),0.3333333333333333,True
51.2292826,6.7895887,3,,,POINT (6.7895887 51.2292826),0.6666666666666666,True
51.201309,6.8086181,3,,,POINT (6.8086181 51.201309),21.333333333333332,False
51.2092176,6.7739981,4,,,POINT (6.7739981 51.2092176),0.6666666666666666,True
51.2316722,6.7483526,4,crossing,,POINT (6.7483526 51.2316722),21.666666666666668,False
51.2379311,6.7898666,4,crossing,,POINT (6.7898666 51.2379311),0.6666666666666666,True
51.2516755,6.8025996,3,,,POINT (6.8025996 51.2516755),22.333333333333332,False
51.20437,6.7767837,3,crossing,,POINT (6.7767837 51.20437),1.3333333333333333,True
51.2448486,6.811712,3,,,POINT (6.811712 51.2448486),23.0,False
51.2450333,6.7399626,4,,,POINT (6.7399626 51.2450333),42.333333333333336,False
51.2457831,6.8016869,3,crossing,,POINT (6.8016869 51.2457831),15.0,True
51.240538,6.8053719,3,,,POINT (6.8053719 51.240538),22.0,False
51.206179,6.7341643,1,,,POINT (6.7341643 51.206179),40.0,False
51.2294324,6.8060461,3,,,POINT (6.8060461 51.2294324),21.0,False
51.2405496,6.8190286,4,,,POINT (6.8190286 51.2405496),34.0,False
51.2316,6.7517442,3,,,POINT (6.7517442 51.2316),18.333333333333332,False
51.2347353,6.7351206,3,,,POINT (6.7351206 51.2347353),39.666666666666664,False
51.2366355,6.7948476,3,,,POINT (6.7948476 51.2366355),7.0,True
51.2519711,6.7842589,3,,,POINT (6.7842589 51.2519711),0.6666666666666666,True
51.1997505,6.7702333,1,,,POINT (6.7702333 51.1997505),3.3333333333333335,True
51.2519354,6.7786036,3,,,POINT (6.7786036 51.2519354),2.6666666666666665,True
51.2220191,6.8146025,4,,,POINT (6.8146025 51.2220191),26.666666666666668,False
51.2080536,6.7767016,3,,,POINT (6.7767016 51.2080536),1.3333333333333333,True
