index,osmid,y,x,street_count,highway,ref,geometry,avg_minutes,15_minutes
10752,3310149907,51.2200691,6.7672073,1,,,POINT (6.7672073 51.2200691),7.333333333333333,True
2418,322241285,51.2017474,6.8004906,3,,,POINT (6.8004906 51.2017474),12.0,True
2994,461995929,51.2522281,6.7782753,3,,,POINT (6.7782753 51.2522281),2.0,True
14046,5859485254,51.1991091,6.7346957,1,,,POINT (6.7346957 51.1991091),46.0,False
7692,1832346061,51.2175831,6.7665236,3,,,POINT (6.7665236 51.2175831),6.333333333333333,True
47,26815222,51.2516446,6.7687019,3,,,POINT (6.7687019 51.2516446),11.0,True
10419,3241322922,51.200255,6.7977235,3,,,POINT (6.7977235 51.200255),13.0,True
13449,5300791304,51.2275226,6.7747165,3,,,POINT (6.7747165 51.2275226),1.0,True
6470,1578677313,51.2445716,6.7769816,3,,,POINT (6.7769816 51.2445716),1.0,True
3939,669093527,51.2118907,6.8032105,3,,,POINT (6.8032105 51.2118907),14.333333333333334,True
12639,4369711159,51.2031073,6.7758058,1,,,POINT (6.7758058 51.2031073),2.3333333333333335,True
663,243514595,51.2316812,6.8120725,3,,,POINT (6.8120725 51.2316812),23.333333333333332,False
9408,2635105016,51.1986007,6.787169,3,,,POINT (6.787169 51.1986007),0.0,True
3226,486536997,51.2333869,6.7714909,4,,,POINT (6.7714909 51.2333869),2.3333333333333335,True
7387,1637342222,51.2069306,6.7966277,3,,,POINT (6.7966277 51.2069306),8.666666666666666,True
6331,1568940352,51.2089322,6.7721252,3,,,POINT (6.7721252 51.2089322),1.3333333333333333,True
2515,322799731,51.1987318,6.8051392,3,,,POINT (6.8051392 51.1987318),24.0,False
9825,3127553493,51.2205807,6.8094489,1,,,POINT (6.8094489 51.2205807),22.333333333333332,False
919,253328068,51.2433924,6.8154288,3,,,POINT (6.8154288 51.2433924),25.333333333333332,False
15965,8209602996,51.2293225,6.8005182,4,crossing,,POINT (6.8005182 51.2293225),14.333333333333334,True
1834,273123519,51.2367541,6.7716835,3,,,POINT (6.7716835 51.2367541),2.0,True
12125,4028980886,51.2186389,6.7753505,3,elevator,,POINT (6.7753505 51.2186389),1.0,True
10076,3199682736,51.2146774,6.803248,3,,,POINT (6.803248 51.2146774),16.0,False
16261,8809174200,51.2131403,6.8085367,3,,,POINT (6.8085367 51.2131403),22.666666666666668,False
13,25907918,51.2314223,6.7484214,3,,,POINT (6.7484214 51.2314223),21.666666666666668,False
7521,1724122058,51.2034581,6.7863999,3,,,POINT (6.7863999 51.2034581),0.0,True
7389,1637342234,51.2077656,6.7938125,3,,,POINT (6.7938125 51.2077656),4.666666666666667,True
10695,3282411683,51.2069854,6.7737455,3,,,POINT (6.7737455 51.2069854),1.3333333333333333,True
15022,7613391866,51.2209306,6.7449452,3,,,POINT (6.7449452 51.2209306),35.666666666666664,False
4671,1177498793,51.2254779,6.7603383,3,,,POINT (6.7603383 51.2254779),24.333333333333332,False
3905,665375290,51.2152327,6.8034014,3,,,POINT (6.8034014 51.2152327),15.0,True
6780,1588478545,51.2170023,6.7688342,3,,,POINT (6.7688342 51.2170023),4.666666666666667,True
14912,7530812935,51.2481277,6.7813674,3,,,POINT (6.7813674 51.2481277),0.0,True
4229,880344029,51.2476464,6.7945073,3,,,POINT (6.7945073 51.2476464),5.666666666666667,True
1984,278327715,51.244199,6.8177365,3,,,POINT (6.8177365 51.244199),29.0,False
8328,2165140811,51.2488108,6.8137854,3,,,POINT (6.8137854 51.2488108),27.0,False
9172,2416888258,51.2173959,6.7783253,3,,,POINT (6.7783253 51.2173959),1.6666666666666667,True
6986,1599931587,51.2445945,6.8164557,3,,,POINT (6.8164557 51.2445945),29.0,False
4097,716743853,51.2353474,6.8067768,3,crossing,,POINT (6.8067768 51.2353474),19.0,False
4356,938555116,51.2034876,6.7972499,3,,,POINT (6.7972499 51.2034876),9.333333333333334,True
2781,378247885,51.251518,6.7796449,3,,,POINT (6.7796449 51.251518),1.0,True
6256,1565347856,51.1989215,6.7812485,3,,,POINT (6.7812485 51.1989215),0.3333333333333333,True
6390,1570454817,51.2237223,6.7737253,4,,,POINT (6.7737253 51.2237223),1.0,True
7619,1742857270,51.2108335,6.7826203,3,,,POINT (6.7826203 51.2108335),0.6666666666666666,True
11785,3753387530,51.2311649,6.7731867,3,,,POINT (6.7731867 51.2311649),1.0,True
13766,5535989896,51.204292,6.7421886,3,,,POINT (6.7421886 51.204292),29.333333333333332,False
3794,634261728,51.2503949,6.7747764,3,,,POINT (6.7747764 51.2503949),0.3333333333333333,True
14733,7118019591,51.215315,6.8014759,3,,,POINT (6.8014759 51.215315),13.333333333333334,True
7809,1884847988,51.2429303,6.8004648,1,,,POINT (6.8004648 51.2429303),11.0,True
16052,8344785390,51.2474914,6.7997172,3,,,POINT (6.7997172 51.2474914),11.333333333333334,True
8696,2296260867,51.2019851,6.8082741,4,,,POINT (6.8082741 51.2019851),20.0,False
1249,253910519,51.2291242,6.7910551,3,,,POINT (6.7910551 51.2291242),3.3333333333333335,True
6734,1587425818,51.2067777,6.7831464,3,crossing,,POINT (6.7831464 51.2067777),1.3333333333333333,True
13012,4838396676,51.2305646,6.7546261,3,,,POINT (6.7546261 51.2305646),17.333333333333332,False
4340,938555072,51.2033252,6.7967716,3,,,POINT (6.7967716 51.2033252),9.0,True
1913,276734273,51.2017764,6.8023711,3,,,POINT (6.8023711 51.2017764),14.0,True
4682,1196973329,51.2497765,6.7756243,1,,,POINT (6.7756243 51.2497765),1.0,True
2438,322241372,51.201942,6.7998939,3,,,POINT (6.7998939 51.201942),11.0,True
5456,1509226132,51.2432365,6.7780927,1,,,POINT (6.7780927 51.2432365),2.0,True
14188,6169369758,51.2197966,6.8153708,3,,,POINT (6.8153708 51.2197966),30.333333333333332,False
13072,4979510088,51.2096877,6.7524926,1,,,POINT (6.7524926 51.2096877),22.666666666666668,False
11590,3578144472,51.2242076,6.7812688,1,,,POINT (6.7812688 51.2242076),0.3333333333333333,True
8639,2292862941,51.2002753,6.8080177,3,,,POINT (6.8080177 51.2002753),23.0,False
12376,4231996801,51.213512,6.7753976,3,,,POINT (6.7753976 51.213512),1.3333333333333333,True
14190,6169369764,51.219674,6.8149348,4,,,POINT (6.8149348 51.219674),29.333333333333332,False
1367,257478793,51.2057016,6.7911964,3,,,POINT (6.7911964 51.2057016),1.3333333333333333,True
6949,1599242416,51.2478569,6.8088236,3,,,POINT (6.8088236 51.2478569),21.333333333333332,False
8353,2173823508,51.2233119,6.8137088,1,,,POINT (6.8137088 51.2233119),27.0,False
13542,5375485209,51.23719,6.7787414,3,,,POINT (6.7787414 51.23719),1.3333333333333333,True
14458,6833162619,51.2016641,6.7809921,4,,,POINT (6.7809921 51.2016641),0.6666666666666666,True
12429,4242801857,51.2266015,6.7830239,4,,,POINT (6.7830239 51.2266015),2.6666666666666665,True
